Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2023-07-16 07:00:00,P3_CH,0,1144.80538103262
2023-07-16 08:00:00,BH20-29_CH,0,1142.65218833274
2023-07-16 08:00:00,BH20-29_ExWR,0,1142.37252450703
2023-07-16 08:00:00,BH20-29_GP-GC,0,1142.4240821335
2023-07-16 08:00:00,BH20-29_WR,0,1142.0722677121
2023-07-16 08:00:00,P3_CH,0,1144.80468647216
2023-07-16 09:00:00,BH20-29_CH,0,1142.64840711095
2023-07-16 09:00:00,BH20-29_ExWR,0,1142.37083530264
2023-07-16 09:00:00,BH20-29_GP-GC,0,1142.42229860483
2023-07-16 09:00:00,BH20-29_WR,0,1142.07101404014
2023-07-16 09:00:00,P3_CH,0,1144.80309477049
2023-07-16 10:00:00,BH20-29_CH,0,1142.6463242332
2023-07-16 10:00:00,BH20-29_ExWR,0,1142.36825995691
2023-07-16 10:00:00,BH20-29_GP-GC,0,1142.42029213422
2023-07-16 10:00:00,BH20-29_WR,0,1142.06880076629
2023-07-16 10:00:00,P3_CH,0,1144.80098214695
2023-07-16 11:00:00,BH20-29_CH,0,1142.64481815177
2023-07-16 11:00:00,BH20-29_ExWR,0,1142.36598922064
